,Id,StoriGroupId,ScanNumber,IonNumber,Mz,Slope,InverseInjectionTimeSeconds,RSquared,TimeOfBirth,TimeOfDeath,Charge,ChargeScore,IsMultiIonProduct,FrequencyCorrectionMzDistance
684,685,1,369,335,2196.61743164062,405307.542562485,108.944329447652,0.997342348098755,0.0521017612524462,1.82356164383562,10,0.914200661788991,0,
690,691,1,619,649,3054.83227539063,655584.974765778,88.8730892285816,0.998966574668884,0.0160313111545988,1.70332681017613,14,0.574568754163266,0,
691,692,1,2412,3597,3415.25219726562,536057.957530022,11.9259162085127,0.998228013515472,0.0641252446183953,1.85963209393346,13,0.674090118408203,0,
695,696,1,1857,1304,3431.654296875,463651.100456715,72.737852778586,0.994264006614685,0.0480939334637965,1.83558512720157,10,0.800533157307956,0,
701,702,1,26,3464,4167.5029296875,989822.0038414,24.5019969127484,0.999146163463593,0.0200391389432485,1.85562426614481,20,0.514297103881836,0,
702,703,1,730,1660,3942.7890625,1041968.00374985,88.8651915044877,0.999721884727478,0.0120234833659491,1.21837964774951,23,0.655034255981445,0,
703,704,1,1720,4118,4296.4599609375,891540.154099464,24.9003984063745,0.999543011188507,0.0120234833659491,1.86764774951076,20,0.560358848571777,0,
704,705,1,2409,1968,4091.47778320313,837946.364879608,9.97207818109294,0.998115241527557,0.0440861056751468,1.54702152641879,18,0.583019593580659,0,
711,712,1,392,1634,4319.384765625,887532.554864884,95.1746454744456,0.997241497039795,0.0,1.88367906066536,16,0.795959320068359,0,
714,715,1,665,1085,4599.40380859375,1034454.87451553,90.293453724605,0.997156143188477,0.0,1.87165557729941,20,0.766316012091369,0,
718,719,1,1205,849,2934.3076171875,650766.523361206,93.1705953601044,0.998927891254425,0.0320626223091977,1.86764774951076,11,0.561949615478516,0,0.068115234375
724,725,1,208,1550,3961.43212890625,992720.689177513,100.867460157353,0.998591661453247,0.0280547945205479,1.47087279843444,21,0.657451400756836,0,
727,728,1,2503,5042,4168.89111328125,816312.980055809,3.44094309368312,0.99825257062912,0.0280547945205479,1.84360078277886,20,0.528278846740723,0,
729,730,1,2243,1567,3259.568359375,555301.427006722,60.4083605170956,0.998682200908661,0.0561095890410959,1.85963209393346,12,0.949932098388672,0,
738,739,1,685,2020,3846.72338867187,907149.25634861,86.1920358558869,0.99789696931839,0.0280547945205479,1.27448923679061,18,0.927638549804687,0,
740,741,1,814,461,2466.04565429688,488374.111652374,121.31505519835,0.998828649520874,0.0200391389432485,1.75542857142857,10,0.93154541015625,0,
751,752,1,2439,232,1909.69409179688,522797.774195671,19.2108195335613,0.9980109333992,0.0240469667318982,1.85963209393346,11,0.816299681373621,0,
756,757,1,440,831,4058.46875,887993.56675148,99.9900009999,0.999420702457428,0.0240469667318982,1.85161643835616,17,0.931002502441406,0,
758,759,1,1484,989,4368.6357421875,645005.093097687,97.5419430355053,0.99854964017868,0.0240469667318982,1.87165557729941,15,0.556078448785519,0,
765,766,1,1011,763,3467.46826171875,1211323.83918762,101.194090265129,0.998879373073578,0.0040078277886497,1.58309197651663,24,0.505519485894736,0,0.241943359375
773,774,1,876,782,3392.30639648438,924080.661058426,101.60536476326,0.99956077337265,0.0320626223091977,1.86764774951076,18,0.528940353393555,0,
774,775,1,1443,1460,3723.62670898437,556651.872634888,85.4481756814492,0.994076609611511,0.0440861056751468,1.85963209393346,13,0.641026077270508,0,
781,782,1,101,363,2202.77514648437,511723.559617996,96.6370313103981,0.999527394771576,0.0080156555772994,1.87967123287671,11,0.855545806884766,0,
784,785,1,2128,1976,3848.78881835937,925123.11565876,67.1997849606881,0.99897575378418,0.0120234833659491,1.36666927592955,18,0.93152596042435,0,
789,790,1,507,1234,4244.14990234375,861325.722575188,101.999184006528,0.997197091579437,0.0080156555772994,1.69531115459883,20,0.544050903320312,0,
790,791,1,588,888,3784.16772460937,1024674.57556725,86.1994655633135,0.999508917331696,0.0080156555772994,1.48289628180039,22,0.889329071044922,0,
791,792,1,1533,1462,4384.3095703125,889321.534395218,88.2301041115229,0.997822284698486,0.0080156555772994,1.86363992172211,19,0.577451515197754,0,
793,794,1,1653,1398,4244.8310546875,973194.874286652,97.3994350832765,0.999794721603394,0.0240469667318982,1.88367906066536,20,0.521119422912598,0,
800,801,1,1861,1828,3841.3134765625,872231.565475464,78.3208020050125,0.999600350856781,0.0160313111545988,1.88367906066536,18,0.908522879903955,0,
